Reference,Country,Site,Longitude (degrees),Latitude (degrees),Elevation (m),Land use type,Hydrology type,Vector Species,Method,Start Year,Start Month,value1,value2,value3,value4,value5,value6,value7,value8,value9,value10,value11,value12
Akogbeto et al. (1992),Benin,Gbegame,2.41,6.36,6,U,N,AG,EIR from HUMAN BAIT and monthly sporozoites,1987,1,0,0,0,0,0,0,0,0,0,0,30,3.1
Akogbeto et al. (1992),Benin,Ladji,2.43,6.39,2,U,N,AG,EIR from HUMAN BAIT and monthly sporozoites,1987,1,2.48,0,0,0,0,3,3.1,9.3,9,18.6,12,3.1
Akogbeto et al. (1992),Benin,St_Ritha_Nord,2.4,6.38,4,U,N,AG,EIR from HUMAN BAIT and monthly sporozoites,1987,1,22.32,0,0,0,0,0,2.48,15.5,0,3.1,12,9.3
Akogbeto et al. (1992),Benin,Ganvie,2.416667,6.466667,2,PU,PWB,AG,EIR,1994,1,0.002432,0.177232,0.228,1.545232,1.646768,2.28,1.317232,0.557232,1.089232,1.317232,0.101232,0.101232
Akogbeto et al. (1992),Benin,Ganvie,2.416667,6.466667,2,PU,PWB,AG,EIR,1995,1,0.002736,0.21128,0.21128,1.979952,2.111888,2.613488,1.399312,0.818368,0.818368,0.105488,0.105488,0.002736
Ilboudo-Sanogo et al. (2010),Burkina_Faso,Balonguen,-1.621,12.403,343,PU,PWB,AF,EIR from LIGHT and monthly sporozoites,2000,12,0.000790956,0,0.001581911,0.000790956,0,0,0,0,1.158750079,8.312153298,2.241568412,0
Ilboudo-Sanogo et al. (2010),Burkina_Faso,Balonguen,-1.621,12.403,343,PU,PWB,AGSL,EIR from LIGHT and monthly sporozoites,2000,12,3.56562823,2.183037692,0.009491468,0.000790956,0.003163823,0.003163823,4.272742612,37.80372698,61.91680201,121.2163317,32.71234524,4.28777077
Robert et al. (1985),Burkina_Faso,Dande,-4.557,11.582,275,R,N,AF,EIR,1983,1,0,0,0,0,0,0,0,0,10.28210526,11.56736842,0,0
Robert et al. (1985),Burkina_Faso,Dande,-4.557,11.582,275,R,N,AF,EIR,1984,1,0,0,0,0,0,0,0,0,0,7.711578947,0,0
Robert et al. (1985),Burkina_Faso,Dande,-4.557,11.582,275,R,N,AG,EIR,1983,1,0,0,0,0,0,0,6.426315789,6.426315789,3.855789474,0,0,0
Robert et al. (1985),Burkina_Faso,Dande,-4.557,11.582,275,R,N,AG,EIR,1984,1,0,0,0,0,0,0,3.855789474,3.855789474,12.85263158,12.85263158,0,0
Rossi et al. (1986),Burkina_Faso,Guinghin_Nord,-1.54,12.352,305,U,N,AGSL,EIR from SPRAYand monthly sporozoites,1984,3,0,0,0,0,0,0,0,0,0,0,0,0
Robert et al. (1988),Burkina_Faso,Karangaso,-4.64,11.21,366,R,PWB,AF,EIR from HUMAN BAIT and monthly sporozoites,1985,3,0.859295659,0.501255801,0.644471744,1.181531532,6.552129402,14.93026208,28.78640459,22.55651106,10.20413595,0.859295659,0.644471744,0.966707617
Robert et al. (1988),Burkina_Faso,Karangaso,-4.64,11.21,366,R,PWB,AG,EIR from HUMAN BAIT and monthly sporozoites,1985,3,13.00933661,4.756101556,3.637018837,5.455528256,46.16216216,53.01654382,19.21092001,2.797706798,0.839312039,0.27977068,0,0.699426699
Robert et al. (1988),Burkina_Faso,Karangaso,-4.64,11.21,366,R,PWB,AN,EIR from HUMAN BAIT and monthly sporozoites,1985,3,0,0,0,0.192342342,1.236486486,1.401351351,1.685285285,0.934234234,0,0,0,0
Rossi et al. (1986),Burkina_Faso,Kologh_Naba,-1.54,12.38,292,U,N,AGSL,EIR from SPRAYand monthly sporozoites,1984,3,0,0,2.1,2.4,1.8,2.85,0.9,9.3,0,0,0,0
Robert et al. (1985),Burkina_Faso,Kongodjan,-4.45,11.58,480,R,PWB,AF,EIR from HUMAN BAIT and monthly sporozoites,1983,1,0,0,0,0,0,0,3.143859649,38.1754386,4.042105263,22.45614035,8.533333333,4.042105263
Robert et al. (1985),Burkina_Faso,Kongodjan,-4.45,11.58,480,R,PWB,AF,EIR from HUMAN BAIT and monthly sporozoites,1984,1,0,0,0,0,0,0,0,2.694736842,0,29.64210526,11.22807018,4.042105263
Robert et al. (1985),Burkina_Faso,Kongodjan,-4.45,11.58,480,R,PWB,AG,EIR from HUMAN BAIT and monthly sporozoites,1983,1,0,0,0,0,0,9.391304348,19.82608696,29.73913043,0,0,0,0
Robert et al. (1985),Burkina_Faso,Kongodjan,-4.45,11.58,480,R,PWB,AG,EIR from HUMAN BAIT and monthly sporozoites,1984,1,0,0,0,0,0,13.56521739,11.73913043,15.65217391,10.43478261,24,0,3.652173913
Robert & Carnevale 1991,Burkina_Faso,Kou ,-4.27,11.52,288,R,I,AG,EIR,1985,5,1.333872272,1.778496362,8.00323363,9.470493129,9.337105901,6.669361358,3.734842361,0.133387227,0,1.778496362,6.758286176,6.002425222
Rossi1986,Burkina_Faso,Koubri,-1.4061,12.1986,289,R,N,AGSL,EIR from SPRAYand monthly sporozoites,1984,3,-9,-9,-9,-9,12,265.8,90,45.9,0.9,1.2,-9,-9
Dabire et al. (2008),Burkina_Faso,Lena,-3.98,11.28,307,R,N,AF,EIR from HUMAN BAIT and monthly sporozoites,1999,1,-9,-9,-9,-9,-9,-9,0.272108844,0.272108844,1.13687,59.59183673,14.96598639,0.272108844
Dabire et al. (2008),Burkina_Faso,Lena,-3.98,11.28,307,R,N,AF,EIR from HUMAN BAIT and monthly sporozoites,2000,1,-9,-9,-9,-9,-9,-9,0.224089636,15.46218487,38.31932773,18.37535014,8.739495798,0
Dabire et al. (2008),Burkina_Faso,Lena,-3.98,11.28,307,R,N,AF,EIR from HUMAN BAIT and monthly sporozoites,2001,1,-9,-9,-9,-9,-9,-9,5.111111111,50.88888889,32.66666667,29.33333333,5.333333333,0
Dabire et al. (2008),Burkina_Faso,Lena,-3.98,11.28,307,R,N,AG,EIR from HUMAN BAIT and monthly sporozoites,1999,1,-9,-9,-9,-9,-9,-9,8.979591837,39.72789116,24.48979592,35.91836735,8.979591837,4.353741497
Dabire et al. (2008),Burkina_Faso,Lena,-3.98,11.28,307,R,N,AG,EIR from HUMAN BAIT and monthly sporozoites,2000,1,-9,-9,-9,-9,-9,-9,38.54341737,19.71988796,18.82352941,4.033613445,4.033613445,0.224089636
Dabire et al. (2008),Burkina_Faso,Lena,-3.98,11.28,307,R,N,AG,EIR from HUMAN BAIT and monthly sporozoites,2001,1,-9,-9,-9,-9,-9,-9,15.77777778,15.55555556,10.22222222,27.33333333,0,0
Rossi et al. (1986),Burkina_Faso,Nongremassm,-1.561,12.4,310,U,N,AGSL,EIR from SPRAYand monthly sporozoites,1984,3,0,0,0,0.9,0.9,1.2,0,2.4,0,2.1,-9,-9
Rossi et al. (1986),Burkina_Faso,Pabre,-1.5697,12.505,303,R,N,AGSL,EIR from SPRAYand monthly sporozoites,1984,3,-9,-9,-9,-9,0.6,29.1,9.3,47.1,5.7,6.6,-9,-9
Rossi et al. (1986),Burkina_Faso,St_Camille,-1.5,12.36,299,U,N,AGSL,EIR from SPRAYand monthly sporozoites,1984,3,0,0,0,0,0,3,0,2.4,0,0,-9,-9
Rossi et al. (1986),Burkina_Faso,St_Leon,-1.522,12.361,306,U,N,AGSL,EIR from SPRAYand monthly sporozoites,1984,3,-9,-9,-9,0,0,0,0,0,0,0,-9,-9
Robert et al. (1985),Burkina_Faso,Tago,-2.643,12.932,308,R,N,AF,EIR from HUMAN BAIT and monthly sporozoites,1983,1,0,0,0,0,0,0,0,11.78381497,8.101372789,3.682442177,0,0
Robert et al. (1985),Burkina_Faso,Tago,-2.643,12.932,308,R,N,AG,EIR from HUMAN BAIT and monthly sporozoites,1983,1,0,0,0,0,0,2.569784612,2.569784612,19.91583074,19.91583074,7.709353837,0,0
Ilboudo-Sanogo et al. (2010),Burkina_Faso,Tensobtenga,-0.267,12,295,R,PWB,AF,EIR from LIGHT and monthly sporozoites,2000,12,2.333319272,0.325082787,0.000790956,0.000790956,0.477737234,0,0,1.993208327,5.467085697,38.86756238,36.68136087,5.907648014
Ilboudo-Sanogo et al. (2010),Burkina_Faso,Tensobtenga,-0.267,12,295,R,PWB,AGSL,EIR from LIGHT and monthly sporozoites,2000,12,6.003353652,0.743498344,0.050621164,0.355930058,0.009491468,0.002372867,12.54455717,54.03018287,96.78133766,141.5486385,48.36852207,20.11242117
Robert et al. (1985),Burkina_Faso,VK4,-4.369,11.41,288,R,I,AG,EIR from HUMAN BAIT and monthly sporozoites,1984,1,0,0,0,0,13.88888889,11.11111111,0,0,2.777777778,18.75,3.472222222,0
Robert et al. (1985),Burkina_Faso,VK6,-4.369,11.41,288,R,I,AF,EIR from HUMAN BAIT and monthly sporozoites,1984,1,0,0,0,0,4.5,0,3.75,0,0,0,3.75,0
Robert et al. (1985),Burkina_Faso,VK6,-4.369,11.41,288,R,I,AG,EIR from HUMAN BAIT and monthly sporozoites,1983,1,0,0,0,0,0,12.21428571,9,3.214285714,7.071428571,0,0,0
Robert et al. (1985),Burkina_Faso,VK6,-4.369,11.41,288,R,I,AG,EIR from HUMAN BAIT and monthly sporozoites,1984,1,0,0,0,0,7.714285714,10.92857143,48.21428571,3.214285714,0,6.428571429,0,0
Rossi1986,Burkina_Faso,Zagtouli,-1.6253,12.3294,310,U,N,AGSL,EIR from SPRAYand monthly sporozoites,1984,3,-9,-9,-9,-9,2.4,50.4,19.8,1.2,0,6.3,-9,-9
Coosemans,Burundi,Gihanga,29.29,-3.19,827,R,I,AG,EIR from HUMAN BAIT and monthly sporozoites,1982,1,2.8032,5.472,-9,1.3536,1.8816,-9,3.1296,0.864,0.2256,-9,0.4608,-9
Coosemans,Burundi,Gihanga,29.29,-3.19,827,R,I,AG,EIR from HUMAN BAIT and monthly sporozoites,1983,1,4.8288,2.6496,5.2608,-9,2.8992,-9,2.5152,-9,0.0576,-9,1.3968,4.0128
Coosemans,Burundi,Katumba,29.2372222,-3.3166667,776,R,N,AF,EIR from HUMAN BAIT and monthly sporozoites,1982,1,0.291148677,0.112619818,0.14592,-9,0.975247445,3.882530007,2.061174785,-9,0.597881095,0.597881095,0.14592,-9
Coosemans,Burundi,Katumba,29.2372222,-3.3166667,776,R,N,AG,EIR from HUMAN BAIT and monthly sporozoites,1982,1,6.904223171,0.112619818,3.772374678,-9,18.37023961,4.356270318,0.14592,-9,0.14592,2.312676146,10.33034489,-9
Fondjo et al. (1992),Cameroon,Bikok,11.482,3.867,728,U,PWB,AG,EIR from HUMAN BAIT and monthly sporozoites,1989,3,3.8,0.38,2.66,4.3624,0.76,0,0,0.5624,0.5624,0.5624,0.1824,0.38
Fondjo et al. (1992),Cameroon,Bisson,11.44,3.865,760,U,PWB,AG,EIR from HUMAN BAIT and monthly sporozoites,1989,4,3.048467967,2.921448468,2.921448468,1.651253482,0.381058496,0.88913649,2.286350975,6.35097493,3.302506964,3.302506964,1.397214485,1.82908078
Njan Nloga et al. (1993),Cameroon,Ebogo,11.469,3.397,659,R,N,AG,EIR from HUMAN BAIT and monthly sporozoites,1991,4,0.02027027,0,0,0,0,0,0,0,0,0.121621622,1.054054054,6.567567568
Njan Nloga et al. (1993),Cameroon,Ebogo,11.469,3.397,659,R,N,AMO,EIR from HUMAN BAIT and monthly sporozoites,1991,4,45.23626512,18.19807428,48.54314947,7.014705882,10.63518696,32.59766907,11.05208333,14.49063232,22.59054326,7.272058824,29.66789668,65.60830861
Meunier et al. (1999),Cameroon,Ebolakounou,12.438,3.905,701,R,N,AF,EIR,1997,6,0,0,0,0,0,0,0,0,0,0,0,0
Meunier et al. (1999),Cameroon,Ebolakounou,12.438,3.905,701,R,N,AG,EIR,1997,6,5.363372093,1.229651163,0,0,0,0,0,0,0,0,0,11.75581395
Meunier et al. (1999),Cameroon,Ebolakounou,12.438,3.905,701,R,N,AMO,EIR,1997,6,0,0,0,0,0,0,0,0,0,0,0,0
Fils et al. (2010),Cameroon,Ekombitie,11.832,3.116,693,R,PWB,AG,EIR,2007,1,20.468,49.708,156.14,222.807,502.339,95.322,63.743,333.918,469.591,535.088,413.45,71.93
Fils et al. (2010),Cameroon,Ekombitie,11.832,3.116,693,R,PWB,AME,EIR,2007,1,7.331,8.504,7.331,22.581,80.059,50.733,4.985,13.196,54.252,53.079,57.771,46.041
Fils et al. (2010),Cameroon,Ekombitie,11.832,3.116,693,R,PWB,AF,EIR,2007,1,0,0,0,0,0,0,0,0,0,0,0.293,0
Tanga et al. (2011),Cameroon,Esuke_camp,9.31,4.1,279,R,N,AF,EIR from HUMAN BAIT and monthly sporozoites,2004,10,52.5,15,0,37.5,67.5,22.5,22.5,75,67.5,7.5,127.5,180
Tanga et al. (2011),Cameroon,Esuke_camp,9.31,4.1,279,R,N,AGSL,EIR from HUMAN BAIT and monthly sporozoites,2004,10,22.5,7.5,22.5,30,15,37.5,0,30,0,0,7.5,15
Tanga et al. (2011),Cameroon,Esuke_camp,9.31,4.1,279,R,N,AHAN,EIR from HUMAN BAIT and monthly sporozoites,2004,10,22.5,7.5,0,15,0,7.5,7.5,7.5,7.5,7.5,7.5,37.5
Tanga et al. (2011),Cameroon,Esuke_camp,9.31,4.1,279,R,N,AN,EIR from HUMAN BAIT and monthly sporozoites,2004,10,0,0,0,0,22.5,0,15,7.5,0,22.5,7.5,0
Bigoga et al. (2007),Cameroon,Idenau,9.05,4.21,359,R,N,AGAFAN,EIR,2001,8,0,0,0,0,0,0,0.571,1.143,0.571,0.571,0.286,1.143
Meunier et al. (1999),Cameroon,Koundou,12.12,3.9,705,R,N,AF,EIR from HUMAN BAIT and monthly sporozoites,1997,6,0,0,0,0,0,0,0,0,0,0,0,0
Meunier et al. (1999),Cameroon,Koundou,10.67,5.7,705,R,N,AF,EIR from HUMAN BAIT and monthly sporozoites,1997,6,2.166979362,7.617260788,0.459662289,0,0,0,0,0,0,0,0,0
Meunier et al. (1999),Cameroon,Koundou,12.12,3.9,705,R,N,AG,EIR from HUMAN BAIT and monthly sporozoites,1997,6,5.363372093,1.229651163,0,0,0,0,0,0,0,0,0,11.75581395
Meunier et al. (1999),Cameroon,Koundou,10.67,5.7,705,R,N,AG,EIR from HUMAN BAIT and monthly sporozoites,1997,6,21.27579737,13.13320826,7.617260788,1.969981238,0,3.939962477,0,0,0,2.692307692,2.692307692,30.46904315
Meunier et al. (1999),Cameroon,Koundou,12.12,3.9,705,R,N,AMO,EIR from HUMAN BAIT and monthly sporozoites,1997,6,0,0,0,0,0,0,0,0,0,0,0,0
Meunier et al. (1999),Cameroon,Koundou,10.67,5.7,705,R,N,AMO,EIR from HUMAN BAIT and monthly sporozoites,1997,6,21.8011257,9.915572233,13.06754221,0,0,0,0,0,0,2.232645403,2.232645403,33.75234522
Tanga and Ngundu (2010),Cameroon,Likoko,9.305,4.394,1933,R,N,AF,EIR from HUMAN BAIT and monthly sporozoites,2002,10,116.1407035,26.29145729,3.844221106,7.57160804,33.76884422,11.15577889,0,0,0,3.618090452,11.77386935,78.3919598
Tanga and Ngundu (2010),Cameroon,Likoko,9.305,4.394,1933,R,N,AGSL,EIR from HUMAN BAIT and monthly sporozoites,2002,10,0,0,0,0,11.14476665,0,0,3.755667506,0,0,0,14.76118628
Tanga and Ngundu (2010),Cameroon,Likoko,9.305,4.394,1933,R,N,AHAN,EIR from HUMAN BAIT and monthly sporozoites,2002,10,18.49874055,22.96095718,11.39168766,3.876574307,26.70528967,3.804785894,7.481108312,3.763224181,0,0,3.729219144,30.94458438
Bigoga et al. (2007),Cameroon,Limbe,9.19,4.02,185,R,N,AGAFAN,EIR,2001,8,6.286,45.714,12.286,6,0,3.143,0,0,8.571,0,0.286,46.286
Le Goff et al. (1997),Cameroon,Mbebe,10.121,3.41,70,R,PWB,AN,EIR from HUMAN BAIT and monthly sporozoites,1989,4,7.695,4.813,7.81,2.968,7.81,8.04,2.738,7.349,5.965,10.115,16.455,20.72
Le Goff et al. (1997),Cameroon,Mbebe,10.121,3.41,70,R,PWB,AG,EIR from HUMAN BAIT and monthly sporozoites,1989,4,11.933,0,2.305,2.333,0,0,0,5.058,11.37,8.137,15.322,18.163
Le Goff et al. (1997),Cameroon,Mbebe,10.121,3.41,70,R,PWB,AF,EIR from HUMAN BAIT and monthly sporozoites,1989,4,0.687,3.468,0.573,0.344,0,0,0,0.229,0.344,0.459,4.126,15.931
Manga 1997,Cameroon,Nditam,11.26,5.36,712,R,PWB,AG,EIR from HUMAN BAIT and monthly sporozoites,1995,5,1.621468927,-9,0.694915254,-9,27.56497175,-9,6.485875706,-9,4.169491525,-9,0.463276836,-9
Cohuet,Cameroon,Nkoteng,12.05,4.5,587,R,N,AF,EIR from HUMAN BAIT and monthly sporozoites,1999,2,2.6,-9,10,-9,12.8,-9,6.7,-9,8.1,-9,4.7,-9
Cohuet,Cameroon,Nkoteng,12.05,4.5,587,R,N,AG,EIR from HUMAN BAIT and monthly sporozoites,1999,2,0.6,-9,1.1,-9,2.6,-9,0,-9,0.8,-9,0,-9
Cohuet,Cameroon,Nkoteng,12.05,4.5,587,R,N,AF,EIR from HUMAN BAIT and monthly sporozoites,2000,2,3.9,-9,11.6,-9,8.9,-9,4.6,-9,2.7,-9,-9,-9
Cohuet,Cameroon,Nkoteng,12.05,4.5,587,R,N,AG,EIR from HUMAN BAIT and monthly sporozoites,2000,2,0,-9,4.1,-9,0,-9,0,-9,0,-9,0,-9
Antonio-Nkondjio et al. (2012),Cameroon,Ndogpassi,10.13,3.08,72,R,N,ALL,EIR,2011,1,0,0,2.263,5.86,11.561,3.433,3.579,3.813,0,0,0,0
Antonio-Nkondjio et al. (2012),Cameroon,Nsimalen_Ekoko,12.12,3.82,699,R,PWB,AME,EIR,1991,4,0,0,0,5.267,7.092,14.926,11.677,12.166,0,14.481,7.715,23.961
Antonio-Nkondjio et al. (2012),Cameroon,Nsimalen_Ekoko,12.12,3.82,699,R,PWB,AG,EIR,1991,4,2.641,3.798,0,0,0,0,0,0,7.537,0,0,0
Antonio-Nkondjio et al. (2012),Cameroon,Nsimalen_Nkol_Mefou,11.58,3.626,680,R,PWB,AME,EIR,1991,4,0,0,0,0,3.896,3.744,8.147,8.67,7.907,7.689,11.33,7.733
Manga 1995,Cameroon,Nsimalen (deforested),11.553333,3.7225,679,R,PWB,AMO,EIR from HUMAN BAIT and monthly sporozoites,1991,4,1.347869177,1.887016848,11.45688801,5.39147671,10.10901883,3.100099108,4.043607532,3.369672944,5.121902874,12.60257681,4.380574827,5.189296333
Manga 1995,Cameroon,Nsimalen (forested),11.553333,3.7225,679,R,PWB,AMO,EIR from HUMAN BAIT and monthly sporozoites,1991,4,0.514269406,0,1.234246575,2.262785388,12.13675799,14.39954338,8.536872146,6.685502283,9.976826484,19.54223744,9.359703196,5.451255708
Manga 1995,Cameroon,Nsimalen (forested),11.553333,3.7225,679,R,PWB,AG,EIR from HUMAN BAIT and monthly sporozoites,1991,4,1.135714286,3.785714286,1.135714286,0.757142857,0,0.757142857,1.514285714,3.785714286,1.135714286,0,0.757142857,1.135714286
Carnevale et al. (1992),Cameroon,Sanaga_river_villages,11.52,4.92,474,R,PWB,AN,EIR,1989,4,7.7,4.5,7.9,2.7,7.9,8.4,2.6,7.7,6.1,10.8,17.1,21.3
Carnevale et al. (1992),Cameroon,Sanaga_river_villages,11.52,4.92,474,R,PWB,AG,EIR,1989,4,13.3,0,2.7,2.6,0,0,0,5,11.7,8,15.2,18.9
Antonio-Nkondjio et al. (2012),Cameroon,Simbock-Block6,11.3,3.5,717,R,PWB,AF,EIR,1999,1,4.857,23.714,25.771,14.686,0,0,0,10.229,0,10.229,0,4.857
Antonio-Nkondjio et al. (2012),Cameroon,Simbock-Block6,11.3,3.5,717,R,PWB,AG,EIR,1999,1,5.372,5.197,5.432,5.285,4.957,4.842,4.878,0,4.842,0,17.106,10.53
Antonio-Nkondjio et al. (2012),Cameroon,Simbock-Block6,11.3,3.5,717,R,PWB,AME,EIR,1999,1,36.676,13.983,5.043,5.158,5.387,10.086,15.122,0,5.043,5.387,18.109,10.544
Antonio-Nkondjio et al. (2012),Cameroon,Simbock-Block6,11.3,3.5,717,R,PWB,AN,EIR,1999,1,10.181,0,0,0,0,0,0,0,0,0,17.756,5.212
Nkondjo2002,Cameroon,Simbock,11.5,3.83333,625,U,N,AF,EIR from HUMAN BAIT and monthly sporozoites,1998,10,0,-9,5.161290323,5.080645161,23.9516129,25.80645161,14.91935484,0,0,0,10.40322581,0
Nkondjo2002,Cameroon,Simbock,11.5,3.83333,625,U,N,AF,EIR from HUMAN BAIT and monthly sporozoites,1999,10,10.40322581,0,-9,0,-9,15.56451613,-9,10.64516129,-9,0,-9,15
Nkondjo2002,Cameroon,Simbock,11.5,3.83333,625,U,N,AG,EIR from HUMAN BAIT and monthly sporozoites,1998,10,5.161290323,-9,10.48387097,5.403225806,4.919354839,5.241935484,5.241935484,5.161290323,5,0,0,5
Nkondjo2002,Cameroon,Simbock,11.5,3.83333,625,U,N,AG,EIR from HUMAN BAIT and monthly sporozoites,1999,10,0,17.33870968,-9,0.080645161,-9,0,-9,26.12903226,-9,5.403225806,-9,5.241935484
Nkondjo2002,Cameroon,Simbock,11.5,3.83333,625,U,N,AMO,EIR from HUMAN BAIT and monthly sporozoites,1998,10,10.32258065,-9,10.32258065,36.37096774,14.03225806,5.161290323,4.919354839,5.241935484,10,0,0,5
Nkondjo2002,Cameroon,Simbock,11.5,3.83333,625,U,N,AMO,EIR from HUMAN BAIT and monthly sporozoites,1999,10,5.322580645,17.90322581,-9,10.32258065,-9,5.241935484,-9,15.40322581,-9,15.32258065,-9,9.919354839
Nkondjo2002,Cameroon,Simbock,11.5,3.83333,625,U,N,AN,EIR from HUMAN BAIT and monthly sporozoites,1998,10,0.080645161,-9,5.161290323,10.40322581,0.080645161,0,0,0,0,0,0,0
Nkondjo2002,Cameroon,Simbock,11.5,3.83333,625,U,N,AN,EIR from HUMAN BAIT and monthly sporozoites,1999,10,0,17.82258065,-9,0,-9,5.241935484,-9,5.161290323,-9,0.161290323,-9,0
Bigoga et al. (2007),Cameroon,Tiko,9.358,4.078,182,R,N,AGAFAN,EIR,2001,8,55.714,53.714,15.143,5.714,15.143,21.714,8.571,24.571,23.714,21.143,12,24.571
Kerah-Hinzoumbé et al. (2009),Chad,Goulmoun,15.2,10.39,324,R,I,AA,EIR from HUMAN BAIT and monthly sporozoites,2006,6,5.21023766,72.48628885,75.2285192,85.37477148,9.963436929,2.650822669,0,0,0,2.742230347,5.301645338,5.21023766
Kerah-Hinzoumbé et al. (2009),Chad,Goulmoun,15.2,10.39,324,R,I,AF,EIR from HUMAN BAIT and monthly sporozoites,2006,6,0,0,0,5.484460695,2.650822669,0,0,0,0,0,0,0
